Wavelength,GDD,Wavelength2,R
1062.2,5.450635,,
1062.37,5.475896,,
1062.54,5.500752,,
1062.71,5.525199,,
1062.88,5.549238,,
1063.05,5.572866,,
1063.22,5.596083,,
1063.39,5.618886,,
1063.56,5.641275,,
1063.73,5.663248,,
1063.9,5.684803,,
1064.07,5.70594,,
1064.24,5.726656,,
1064.41,5.746952,,
1064.58,5.766824,,
1064.75,5.786273,,
1064.92,5.805296,,
1065.09,5.823892,,
1065.26,5.84206,,
1065.43,5.859798,,
1065.6,5.877106,,
1065.77,5.893981,,
1065.94,5.910423,,
1066.11,5.92643,,
1066.28,5.942001,,
1066.45,5.957134,,
1066.62,5.971829,,
1066.79,5.986084,,
1066.96,5.999897,,
1067.13,6.013268,,
1067.3,6.026194,,
1067.47,6.038676,,
1067.64,6.050711,,
1067.81,6.062298,,
1067.98,6.073436,,
1068.15,6.084124,,
1068.32,6.09436,,
1068.49,6.104143,,
1068.66,6.113471,,
1068.83,6.122345,,
1069,6.130762,,
1069.17,6.13872,,
1069.34,6.14622,,
1069.51,6.153259,,
1069.68,6.159836,,
1069.85,6.16595,,
1070.02,6.1716,,
1070.19,6.176784,,
1070.36,6.181502,,
1070.53,6.185751,,
1070.7,6.189531,,
1070.87,6.192841,,
1071.04,6.195679,,
1071.21,6.198043,,
1071.38,6.199934,,
1071.55,6.201349,,
1071.72,6.202287,,
1071.89,6.202747,,
1072.06,6.202728,,
1072.23,6.202229,,
1072.4,6.201248,,
1072.57,6.199783,,
1072.74,6.197835,,
1072.91,6.195401,,
1073.08,6.192481,,
1073.25,6.189072,,
1073.42,6.185175,,
1073.59,6.180787,,
1073.76,6.175907,,
1073.93,6.170535,,
1074.1,6.164668,,
1074.27,6.158306,,
1074.44,6.151447,,
1074.61,6.14409,,
1074.78,6.136235,,
1074.95,6.127879,,
1075.12,6.119021,,
1075.29,6.10966,,
1075.46,6.099795,,
1075.63,6.089425,,
1075.8,6.078548,,
1075.97,6.067163,,
1076.14,6.055269,,
1076.31,6.042864,,
1076.48,6.029948,,
1076.65,6.016518,,
1076.82,6.002575,,
1076.99,5.988116,,
1077.16,5.97314,,
1077.33,5.957645,,
1077.5,5.941631,,
1077.67,5.925097,,
1077.84,5.90804,,
1078.01,5.89046,,
1078.18,5.872355,,
1078.35,5.853725,,
1078.52,5.834567,,
1078.69,5.81488,,
1078.86,5.794664,,
1079.03,5.773916,,
1079.2,5.752636,,
1079.37,5.730821,,
1079.54,5.708471,,
1079.71,5.685585,,
1079.88,5.66216,,
1080.05,5.638196,,
1080.22,5.613691,,
1080.39,5.588645,,
1080.56,5.563054,,
1080.73,5.536919,,
1080.9,5.510237,,
1081.07,5.483007,,
1081.24,5.455228,,
1081.41,5.426899,,
1081.58,5.398018,,
1081.75,5.368583,,
1081.92,5.338593,,
1082.09,5.308047,,
1082.26,5.276943,,
1082.43,5.245279,,
1082.6,5.213055,,
1082.77,5.180269,,
1082.94,5.146919,,
1083.11,5.113003,,
1083.28,5.078521,,
1083.45,5.043471,,
1083.62,5.00785,,
1083.79,4.971658,,
1083.96,4.934893,,
1084.13,4.897554,,
1084.3,4.859639,,
1084.47,4.821146,,
1084.64,4.782073,,
1084.81,4.74242,,
1084.98,4.702184,,
1085.15,4.661364,,
1085.32,4.619958,,
1085.49,4.577965,,
1085.66,4.535383,,
1085.83,4.49221,,
1086,4.448444,,
1086.17,4.404084,,
1086.34,4.359128,,
1086.51,4.313575,,
1086.68,4.267422,,
1086.85,4.220668,,
1087.02,4.173311,,
1087.19,4.12535,,
1087.36,4.076781,,
1087.53,4.027605,,
1087.7,3.977819,,
1087.87,3.92742,,
1088.04,3.876408,,
1088.21,3.824779,,
1088.38,3.772533,,
1088.55,3.719668,,
1088.72,3.666181,,
1088.89,3.612071,,
1089.06,3.557336,,
1089.23,3.501973,,
1089.4,3.445981,,
1089.57,3.389357,,
1089.74,3.3321,,
1089.91,3.274209,,
1090.08,3.215679,,
1090.25,3.15651,,
1090.42,3.096699,,
1090.59,3.036245,,
1090.76,2.975145,,
1090.93,2.913397,,
1091.1,2.850999,,
1091.27,2.787948,,
1091.44,2.724243,,
1091.61,2.659881,,
1091.78,2.59486,,
1091.95,2.529178,,
1092.12,2.462832,,
1092.29,2.39582,,
1092.46,2.32814,,
1092.63,2.259789,,
1092.8,2.190766,,
1092.97,2.121067,,
1093.14,2.05069,,
1093.31,1.979633,,
1093.48,1.907893,,
1093.65,1.835468,,
1093.82,1.762355,,
1093.99,1.688553,,
1094.16,1.614057,,
1094.33,1.538866,,
1094.5,1.462977,,
1094.67,1.386387,,
1094.84,1.309094,,
1095.01,1.231095,,
1095.18,1.152388,,
1095.35,1.072968,,
1095.52,0.992835,,
1095.69,0.911984,,
1095.86,0.830414,,
1096.03,0.748121,,
1096.2,0.665103,,
1096.37,0.581356,,
1096.54,0.496878,,
1096.71,0.411665,,
1096.88,0.325715,,
1097.05,0.239025,,
1097.22,0.151591,,
1097.39,0.063411,,
1097.56,-0.025519,,
1097.73,-0.115202,,
1097.9,-0.20564,,
1098.07,-0.296838,,
1098.24,-0.388798,,
1098.41,-0.481523,,
1098.58,-0.575018,,
1098.75,-0.669285,,
1098.92,-0.764327,,
1099.09,-0.860149,,
1099.26,-0.956753,,
1099.43,-1.054143,,
1099.6,-1.152322,,
1099.77,-1.251294,,
1099.94,-1.351063,,
1100.11,-1.451632,,
1100.28,-1.553005,,
1100.45,-1.655185,,
1100.62,-1.758177,,
