Wavelength,GDD,Wavelength2,R
1015.54,24.6925391,,
1015.68,24.5615332,,
1015.82,24.43132682,,
1015.96,24.30191132,,
1016.1,24.17327059,,
1016.24,24.04540934,,
1016.38,23.91832336,,
1016.52,23.79197707,,
1016.66,23.66639899,,
1016.8,23.541558,,
1016.94,23.41746319,,
1017.08,23.29409233,,
1017.22,23.17144853,,
1017.36,23.04952593,,
1017.5,22.92830518,,
1017.64,22.80779536,,
1017.78,22.68798005,,
1017.92,22.5688533,,
1018.06,22.45041067,,
1018.2,22.33264619,,
1018.34,22.21555386,,
1018.48,22.09912166,,
1018.62,21.98336158,,
1018.76,21.86824506,,
1018.9,21.75376902,,
1019.04,21.63993339,,
1019.18,21.52673811,,
1019.32,21.41417706,,
1019.46,21.30223659,,
1019.6,21.1909045,,
1019.74,21.08019123,,
1019.88,20.97008608,,
1020.02,20.86056925,,
1020.16,20.75166172,,
1020.3,20.64333763,,
1020.44,20.53558921,,
1020.58,20.42843139,,
1020.72,20.32183971,,
1020.86,20.21582458,,
1021,20.11036147,,
1021.14,20.00546835,,
1021.28,19.90111611,,
1021.42,19.79732421,,
1021.56,19.69406654,,
1021.7,19.59136104,,
1021.84,19.48916939,,
1021.98,19.38751254,,
1022.12,19.28638713,,
1022.26,19.18577454,,
1022.4,19.08568354,,
1022.54,18.98609703,,
1022.68,18.88701306,,
1022.82,18.78844043,,
1022.96,18.69036193,,
1023.1,18.59277105,,
1023.24,18.49567042,,
1023.38,18.39905043,,
1023.52,18.30291217,,
1023.66,18.20725367,,
1023.8,18.11206528,,
1023.94,18.01734961,,
1024.08,17.92308775,,
1024.22,17.82928381,,
1024.36,17.73594347,,
1024.5,17.64305237,,
1024.64,17.55060693,,
1024.78,17.45860662,,
1024.92,17.36704476,,
1025.06,17.27591617,,
1025.2,17.18522186,,
1025.34,17.09495354,,
1025.48,17.00511682,,
1025.62,16.91570033,,
1025.76,16.82669884,,
1025.9,16.73810866,,
1026.04,16.64993229,,
1026.18,16.56216912,,
1026.32,16.4747953,,
1026.46,16.38783344,,
1026.6,16.30127361,,
1026.74,16.21509347,,
1026.88,16.1293063,,
1027.02,16.0439099,,
1027.16,15.95889585,,
1027.3,15.87426191,,
1027.44,15.7900074,,
1027.58,15.70612695,,
1027.72,15.62261677,,
1027.86,15.53947614,,
1028,15.456695,,
1028.14,15.37427729,,
1028.28,15.29222231,,
1028.42,15.21051994,,
1028.56,15.12917569,,
1028.7,15.04817631,,
1028.84,14.96752416,,
1028.98,14.88721849,,
1029.12,14.80725226,,
1029.26,14.72762626,,
1029.4,14.64833499,,
1029.54,14.56937298,,
1029.68,14.49074882,,
1029.82,14.41244759,,
1029.96,14.33447004,,
1030.1,14.25681693,,
1030.24,14.17948586,,
1030.38,14.10246499,,
1030.52,14.02576133,,
1030.66,13.94936776,,
1030.8,13.87329129,,
1030.94,13.7975169,,
1031.08,13.72204527,,
1031.22,13.64687871,,
1031.36,13.57200686,,
1031.5,13.49742884,,
1031.64,13.42315481,,
1031.78,13.34916966,,
1031.92,13.27547091,,
1032.06,13.2020608,,
1032.2,13.1289416,,
1032.34,13.05609337,,
1032.48,12.98353896,,
1032.62,12.91125048,,
1032.76,12.83924763,,
1032.9,12.76750882,,
1033.04,12.69605057,,
1033.18,12.62485763,,
1033.32,12.55393222,,
1033.46,12.48327178,,
1033.6,12.41287534,,
1033.74,12.34273237,,
1033.88,12.27285942,,
1034.02,12.20323956,,
1034.16,12.13387339,,
1034.3,12.06475673,,
1034.44,11.99589334,,
1034.58,11.92727585,,
1034.72,11.85890643,,
1034.86,11.79078407,,
1035,11.72290134,,
1035.14,11.65526201,,
1035.28,11.58785384,,
1035.42,11.5206838,,
1035.56,11.45376369,,
1035.7,11.38706196,,
1035.84,11.32059362,,
1035.98,11.254356,,
1036.12,11.18834642,,
1036.26,11.12256223,,
1036.4,11.05699429,,
1036.54,10.99166407,,
1036.68,10.92653988,,
1036.82,10.86164158,,
1036.96,10.7969568,,
